"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Shai Gilgeous-Alexander","Okc","G","26.5","42","34.2","34.5","11.2","348","0.902","648","0.599","244","0.348","0.578","0.643","32","5.4","6.1","2.1","1.1","2.7","37.4","38.1","43.5","11.9","126.6","102.4"
"","Giannis Antetokounmpo","Mil","F","30.1","35","34.9","36.3","14.6","375","0.587","700","0.621","26","0.154","0.607","0.618","31.5","12","6","0.8","1.4","3.5","43.5","37.5","49.5","15.1","118.6","103.9"
"","Nikola Jokic","Den","C","29.9","37","36.4","30.4","13.1","237","0.81","590","0.586","159","0.478","0.614","0.652","30.1","13.2","9.9","1.9","0.6","3.1","43.2","39.9","53.1","17.3","132.4","106.5"
"","LaMelo Ball","Cha","G","23.4","29","34.2","37.2","13.7","164","0.835","331","0.511","364","0.335","0.506","0.548","29","5.4","7.5","1.3","0.3","3.8","34.4","36.5","42","12.3","111.3","106.9"
"","Luka Doncic","Dal","F-G","25.9","22","35.7","32.9","13.9","146","0.767","254","0.555","212","0.354","0.544","0.584","28.1","8.3","7.8","2","0.4","3.4","36.5","36","44.3","13.7","115.8","105.1"
"","Jayson Tatum","Bos","F-G","26.9","41","36.5","30.9","12.3","272","0.798","406","0.564","423","0.355","0.548","0.593","27.4","9.2","5.5","1.3","0.5","2.8","36.6","32.9","42.1","12.2","117.4","103.7"
"","Kevin Durant","Pho","F","36.3","33","35.9","30.5","14.3","216","0.829","433","0.582","185","0.384","0.58","0.628","27.2","6.5","4.1","0.8","1.4","3.1","33.6","31.2","37.7","10","114.6","114.5"
"","Tyrese Maxey","Phi","G","24.2","35","37.7","30.9","10.2","202","0.856","413","0.504","336","0.333","0.502","0.552","26.4","3.5","5.9","2","0.4","2.4","29.9","32.3","35.8","8.7","112.1","113"
"","Anthony Edwards","Min","G","23.5","44","36.7","30.7","14.3","219","0.836","458","0.454","432","0.426","0.544","0.583","26.2","5.8","4.3","1.2","0.5","3.4","31.9","30.5","36.2","9.5","110.2","109.4"
"","Jalen Brunson","Nyk","G","28.4","44","35.3","29.6","11.5","311","0.817","548","0.531","261","0.391","0.549","0.604","26","3","7.3","0.9","0","2.4","28.9","33.3","36.2","9.4","124","112.9"
"","Devin Booker","Pho","G","28.2","38","36.7","29.3","11.4","264","0.89","421","0.515","295","0.346","0.517","0.586","25.7","3.9","6.6","1.2","0.3","2.4","29.6","32.3","36.2","9.5","119.5","115.4"
